0.001,1.36205,0.813101
0.002,1.397508,0.813746
0.003,1.430064,0.817292
0.004,1.455207,0.818903
0.005,1.475837,0.820515
0.006,1.491632,0.818259
0.007,1.490342,0.818903
0.008,1.478416,0.817936
0.009,1.456174,0.819871
0.01,1.422973,0.82116
0.011,1.383647,0.820515
0.012,1.353347,0.823094
0.013,1.319501,0.822127
0.014,1.294358,0.822127
0.015,1.292746,0.820193
0.016,1.304995,0.822127
0.017,1.327882,0.821482
0.018,1.355925,0.822449
0.019,1.391383,0.825673
0.02,1.423617,0.827607
0.021,1.440379,0.828574
0.022,1.466489,0.828251
0.023,1.471002,0.829541
0.024,1.465522,0.827607
0.025,1.449082,0.830185
0.026,1.42265,0.829218
0.027,1.384936,0.828574
0.028,1.347222,0.827607
0.029,1.312732,0.826317
0.03,1.281464,0.824706
0.031,1.262446,0.824061
0.032,1.265025,0.82535
0.033,1.281142,0.822449
0.034,1.306929,0.824061
0.035,1.336907,0.820838
0.036,1.372043,0.818581
0.037,1.397185,0.816002
0.038,1.420394,0.813424
0.039,1.436189,0.809878
0.04,1.439734,0.812779
0.041,1.430064,0.810523
0.042,1.410401,0.808589
0.043,1.38268,0.806654
0.044,1.342065,0.805365
0.045,1.304995,0.806332
0.046,1.276952,0.804398
0.047,1.245362,0.805043
0.048,1.237304,0.804076
0.049,1.24504,0.805687
0.05,1.268248,0.804398
0.051,1.292746,0.80472
0.052,1.326915,0.804076
0.053,1.361083,0.80472
0.054,1.384614,0.806654
0.055,1.410724,0.806977
0.056,1.425229,0.809878
0.057,1.426196,0.808589
0.058,1.416848,0.810523
0.059,1.391061,0.809556
0.06,1.360438,0.811167
0.061,1.32208,0.813746
0.062,1.290812,0.816325
0.063,1.260835,0.816002
0.064,1.237948,0.814068
0.065,1.236659,0.815035
0.066,1.252454,0.813746
0.067,1.277596,0.815035
0.068,1.30564,0.816325
0.069,1.345933,0.817292
0.07,1.374944,0.816002
0.071,1.39783,0.813101
0.072,1.425874,0.811812
0.073,1.43361,0.8102
0.074,1.432643,0.808589
0.075,1.413302,0.806977
0.076,1.390094,0.803109
0.077,1.356892,0.802786
0.078,1.318856,0.799563
0.079,1.290168,0.802142
0.08,1.259867,0.802464
0.081,1.242461,0.801175
0.082,1.249553,0.797307
0.083,1.266314,0.79505
0.084,1.292424,0.791504
0.085,1.324336,0.792794
0.086,1.360761,0.790215
0.087,1.388482,0.791504
0.088,1.412013,0.788603
0.089,1.431031,0.786992
0.09,1.436833,0.787314
0.091,1.428452,0.786025
0.092,1.408467,0.787314
0.093,1.38139,0.783768
0.094,1.343676,0.783124
0.095,1.307574,0.780545
0.096,1.281142,0.778611
0.097,1.247296,0.779255
0.098,1.243106,0.778288
0.099,1.249875,0.776999
0.1,1.274051,0.772809
0.101,1.298549,0.769907
0.102,1.33175,0.769263
0.103,1.366563,0.770552
0.104,1.390094,0.772486
0.105,1.416848,0.771197
0.106,1.430709,0.765072
0.107,1.428452,0.759593
0.108,1.419427,0.763461
0.109,1.395574,0.762171
0.11,1.362695,0.762816
0.111,1.321757,0.762816
0.112,1.290812,0.76475
0.113,1.259867,0.763461
0.114,1.237304,0.76475
0.115,1.236659,0.764428
0.116,1.250197,0.765395
0.117,1.276307,0.767329
0.118,1.298871,0.769263
0.119,1.336263,0.768618
0.12,1.368497,0.766684
0.121,1.389771,0.765072
0.122,1.415881,0.766684
0.123,1.423295,0.767973
0.124,1.41717,0.768618
0.125,1.400409,0.770552
0.126,1.375266,0.767329
0.127,1.339808,0.75927
0.128,1.302739,0.757981
0.129,1.272761,0.758626
0.13,1.243428,0.75927
0.131,1.225055,0.759593
0.132,1.229567,0.762816
0.133,1.247618,0.763461
0.134,1.270182,0.761849
0.135,1.303061,0.758626
0.136,1.339808,0.756047
0.137,1.366563,0.757658
0.138,1.390738,0.760237
0.139,1.406856,0.764105
0.14,1.412658,0.762816
0.141,1.405566,0.756047
0.142,1.381068,0.755402
0.143,1.356892,0.755402
0.144,1.316922,0.753468
0.145,1.281142,0.754435
0.146,1.254388,0.75379
0.147,1.223765,0.757336
0.148,1.214095,0.757014
0.149,1.22312,0.756691
0.15,1.24504,0.75508
0.151,1.272439,0.75379
0.152,1.306285,0.753146
0.153,1.336907,0.752179
0.154,1.36624,0.754113
0.155,1.386548,0.75508
0.156,1.399442,0.750567
0.157,1.401053,0.747021
0.158,1.387837,0.746699
0.159,1.363662,0.747666
0.16,1.334006,0.747021
0.161,1.291135,0.746699
0.162,1.260512,0.748633
0.163,1.228923,0.748955
0.164,1.205392,0.7496
0.165,1.204102,0.748955
0.166,1.215384,0.747988
0.167,1.242461,0.747344
0.168,1.269538,0.745732
0.169,1.304995,0.747988
0.17,1.338519,0.749278
0.171,1.359471,0.746699
0.172,1.383325,0.744765
0.173,1.388804,0.743798
0.174,1.385581,0.744442
0.175,1.369464,0.74412
0.176,1.341742,0.745409
0.177,1.310153,0.745409
0.178,1.272116,0.746699
0.179,1.236337,0.747666
0.18,1.208937,0.745732
0.181,1.190886,0.743475
0.182,1.194432,0.74412
0.183,1.21345,0.742831
0.184,1.240527,0.743798
0.185,1.270182,0.744442
0.186,1.310475,0.746699
0.187,1.334006,0.745732
0.188,1.359794,0.745732
0.189,1.376878,0.744442
0.19,1.377522,0.74412
0.191,1.370753,0.742831
0.192,1.348834,0.74412
0.193,1.320468,0.745409
0.194,1.285333,0.745409
0.195,1.248263,0.743153
0.196,1.220219,0.741864
0.197,1.190564,0.742186
0.198,1.182183,0.743153
0.199,1.18863,0.743798
0.2,1.213128,0.74412
